State,Entity Type,count
FL,FQHCLA,24
FL,HM,12
FL,HV,37
FL,PED,56
FL,RRC,23
FL,RW4,14
FL,RWI,52
FL,RWII,51
FL,RWIID,2
FL,RWIIR,2
FL,STD,558
FL,TB,101
GA,CAH,47
GA,CH,363
GA,DSH,439
GA,FP,6
GA,FQHCLA,5
GA,HM,1
GA,HV,22
GA,PED,10
GA,RRC,48
GA,RW4,4
GA,RWI,22
GA,RWII,20
GA,RWIID,1
GA,RWIIR,1
GA,SCH,12
GA,STD,210
GA,TB,188
GU,CH,2
GU,FP,1
GU,RWIID,1
GU,STD,1
GU,TB,1
HI,CAH,31
HI,CH,86
HI,DSH,75
HI,FP,1
HI,FQHCLA,1
HI,HM,1
HI,HV,2
HI,NH,5
HI,PED,1
HI,RRC,29
HI,RWII,2
HI,RWIIR,1
HI,STD,19
HI,TB,1
IA,CAH,254
IA,CH,65
IA,DSH,430
IA,FP,16
IA,HM,1
IA,HV,3
IA,RWIID,1
IA,RWIIR,1
IA,SCH,62
IA,STD,57
IA,TB,1
ID,CAH,119
ID,CH,91
ID,DSH,422
ID,FP,5
ID,FQHC638,1
ID,HM,1
ID,HV,1
ID,RRC,47
ID,RWIIR,1
ID,SCH,3
ID,STD,12
IL,CAH,263
IL,CH,438
IL,DSH,790
IL,FP,42
IL,FQHCLA,14
IL,HM,3
IL,HV,18
IL,PED,54
IL,RRC,151
IL,RW4,2
IL,RWI,17
IL,RWII,14
IL,RWIID,1
IL,RWIIR,1
IL,SCH,57
IL,STD,138
IL,TB,100
IL,UI,1
IN,CAH,129
IN,CH,256
IN,DSH,478
IN,FP,27
IN,FQHCLA,101
IN,HM,1
IN,HV,4
IN,RRC,92
IN,RWI,1
IN,RWII,1
IN,RWIIR,1
IN,SCH,4
IN,STD,119
IN,TB,2
KS,CAH,201
KS,CH,102
KS,DSH,244
KS,FP,53
KS,FQHCLA,4
KS,HV,1
KS,PED,12
KS,RRC,2
KS,RWII,1
KS,RWIIR,1
KS,SCH,24
KS,STD,164
KS,TB,147
KS,UI,1
KY,CAH,104
KY,CH,552
KY,DSH,701
KY,FP,123
KY,FQHCLA,23
KY,HM,5
KY,HV,6
KY,PED,28
KY,RRC,58
KY,RW4,1
KY,RWIID,1
KY,RWIIR,1
KY,SCH,3
KY,STD,198
KY,TB,77
LA,CAH,80
LA,CH,367
LA,DSH,1496
LA,FP,60
LA,FQHC638,4
LA,FQHCLA,11
LA,HM,1
LA,HV,5
LA,PED,19
LA,RRC,24
LA,RW4,3
LA,RWI,5
LA,RWII,5
LA,RWIID,1
LA,RWIIR,1
LA,SCH,3
LA,STD,189
LA,TB,1
MA,CAH,14
MA,CH,210
MA,DSH,778
MA,FP,17
MA,HM,5
MA,HV,7
MA,PED,87
MA,RRC,173
MA,RWI,2
MA,RWII,3
MA,RWIIR,1
MA,SCH,1
MA,STD,34
MA,TB,2
MD,CH,148
MD,DSH,135
MD,FP,44
MD,HM,1
MD,HV,1
MD,PED,39
MD,RWI,11
MD,RWII,1
MD,RWIIR,1
MD,SCH,2
MD,STD,53
MD,TB,25
ME,CAH,159
ME,CH,135
ME,DSH,423
ME,FQHC638,1
ME,FQHCLA,6
ME,HM,2
ME,HV,1
ME,RWIIR,1
ME,STD,28
MI,CAH,195
MI,CH,340
MI,DSH,1563
MI,FP,79
MI,FQHC638,25
MI,FQHCLA,5
MI,HM,7
MI,HV,4
MI,RRC,151
MI,RW4,1
MI,RWI,6
MI,RWII,12
MI,RWIIR,1
MI,SCH,47
MI,STD,117
MI,TB,63
MI,UI,1
MN,CAH,168
MN,CH,69
MN,DSH,712
MN,FP,1
MN,FQHC638,13
MN,FQHCLA,3
MN,HM,3
MN,PED,59
MN,RRC,53
MN,RWI,2
MN,RWII,4
MN,RWIIR,1
MN,SCH,108
MN,STD,58
MN,TB,2
MN,UI,1
MO,CAH,146
MO,CH,324
MO,DSH,882
MO,FP,41
MO,FQHCLA,2
MO,HM,5
MO,HV,3
MO,PED,52
MO,RRC,31
MO,RW4,2
MO,RWI,9
MO,RWII,2
MO,RWIIR,1
MO,SCH,112
MO,STD,207
MO,TB,117
MP,CH,3
MP,FP,1
MP,RWII,1
MP,RWIID,1
MP,TB,1
MS,CAH,124
MS,CH,288
MS,DSH,341
MS,FP,5
MS,HV,3
MS,RRC,34
MS,RWII,7
MS,RWIID,1
MS,RWIIR,1
MS,SCH,11
MS,STD,106
MS,TB,87
MT,CAH,106
MT,CH,69
MT,DSH,139
MT,FP,16
MT,FQHC638,2
MT,HV,1
MT,RRC,2
MT,RWIID,1
MT,RWIIR,1
MT,SCH,24
MT,STD,35
MT,UI,3
NC,CAH,42
NC,CH,518
NC,DSH,731
NC,FP,118
NC,FQHCLA,26
NC,HM,12
NC,HV,15
NC,RRC,121
NC,RW4,10
NC,RWI,11
NC,RWII,9
NC,RWIID,1
NC,RWIIR,1
NC,SCH,7
NC,STD,151
NC,TB,110
ND,CAH,82
ND,CH,25
ND,DSH,419
ND,FP,7
ND,FQHC638,5
ND,HM,1
ND,RRC,58
ND,RWII,1
ND,RWIID,1
ND,RWIIR,1
ND,SCH,123
ND,STD,12
ND,TB,1
NE,CAH,167
NE,CH,56
NE,DSH,85
NE,FP,15
NE,HV,1
NE,PED,10
NE,RRC,26
NE,RW4,1
NE,RWII,2
NE,RWIIR,1
NE,SCH,1
NE,STD,49
NE,UI,2
NH,CAH,85
NH,CH,36
NH,DSH,128
NH,FP,7
NH,FQHCLA,1
